क्र ,पुस्तकाचे नाव ,लेखक ,किंमत ,सवलतीत 
244,पुण्यश्लोक अहिल्यादेवी होळकर,दिलीप बर्वे,१५०,९८
245,थोर चित्रकार चोर,दीपक घारे,220,165
246,जग बदलणारे ग्रंथ,दीपा देशमुख,499,424
247,डायरेक्टर्स,दीपा देशमुख,580,493
248,तुमचे-आमचे सुपरहिरो - अच्युत गोडबोले,दीपा देशमुख,160,120
249,तुमचे-आमचे सुपरहिरो - अरविंद गुप्ता,दीपा देशमुख,130,98
250,तुमचे-आमचे सुपरहिरो - डॉ. प्रकाश आमटे,दीपा देशमुख,90,68
251,तुमचे-आमचे सुपरहिरो-ज्ञानेश्वर मुळे,दीपा देशमुख,99,74
252,मर्डेर मिस्ट्री,दीपा देशमुख,480,360
253,दिग्गज १,दीपा देशमुख ,440,330
254,दिग्गज २,दीपा देशमुख ,560,420
255,भारतीय जीनियस - १ निळा,दीपा देशमुख - अच्युत गोडबोले,180,153
256,भारतीय जीनियस - २ पिवळा,दीपा देशमुख - अच्युत गोडबोले,180,153
257,भारतीय जीनियस - 3 हिरवा,दीपा देशमुख - अच्युत गोडबोले,180,153
258,आशा ,देवदत्त पटनायक,170,128
259,पद्मावत,देवदत्त पटनायक,200,150
260,बाहुबली,देवदत्त पटनायक,350,263
261,योग  ,देवदत्त पटनायक,350,263
262,विवाह ,देवदत्त पटनायक,280,210
263,श्रद्धा,देवदत्त पटनायक,230,173
264,अफलातून अवलिये,द्वारकानाथ संझगिरी,२५०,१६३
265,अश्रू आणि षटकार,द्वारकानाथ संझगिरी,३००,१९५
266,क्रिकेट कॉकटेल,द्वारकानाथ संझगिरी,३२०,२०८
267,खेलंदाजी,द्वारकानाथ संझगिरी,२८०,१८२
268,फिरता फिरता,द्वारकानाथ संझगिरी,२६०,१६९
269,माझी बाहेरख्याली,द्वारकानाथ संझगिरी,३४०,२२१
270,वल्ली आणि वल्ली,द्वारकानाथ संझगिरी,२३०,१५०
271,वेदनेचं गाणं,द्वारकानाथ संझगिरी,२८०,१८२
272,शॅम्पेन क्रिकेट,द्वारकानाथ संझगिरी,३८०,२४७
273,व्हेन द मून शाईन्स बाय द डे,धनश्री भाटे/सई साने,१६०,१०४
274,अंताजीची बखर,नंदा खरे,350,263
275,डार्विन आणि जीवसृष्टीचे रहस्य,नंदा खरे,250,188
276,दगड-धोंडे,नंदा खरे,200,150
277,दगडावर दगड..विटेवर वीट,नंदा खरे,250,188
278,नाही मानियले बहुमता,नंदा खरे,800,600
279,बखर अंतकाळाची,नंदा खरे,400,300
280,संप्रति,नंदा खरे,299,224
281,एैसे कैसे झाले भोंदू,नरेंद्र दाभोळकर,299,224
282,दिवेलागणीची वेळ,ना. धों. महानोर,१६०,१०४
283,अज्ञात मुंबई,नितीन साळुंखे,475,356
284,अज्ञात मुंबई - २,नितीन साळुंखे,599,449
285,दिवास्वप्न,निरंजन घाटे,130,98
286,"प्रेम , स्पर्श आणि आकर्षण ",निरंजन घाटे,380,285
287,आर्टिफिशिअल इंटेलिजन्स,निलांबरी जोशी,350,263
288,जिथे मुलांना पंख फुटतात,निलांबरी जोशी,230,173
